otu;size;identity;phylum;class;order;family;genus;genus_0;genus_1
Otu001;61864;Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Barnesiella(96);Barnesiella_unclassified(96);Barnesiella_unclassified(96);
Otu002;23360;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(89);Lachnospiraceae_unclassified(61);Lachnospiraceae_unclassified(61);Lachnospiraceae_unclassified(61);
Otu003;6679;Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(95);Lactobacillus(95);Lactobacillus_unclassified(95);Lactobacillus_unclassified(95);
Otu004;6584;Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);Bacteroides_unclassified(100);Bacteroides_unclassified(100);
Otu005;5376;Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);Alistipes_unclassified(100);Alistipes_unclassified(100);
Otu006;3526;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);Ruminococcaceae_unclassified(100);Ruminococcaceae_unclassified(100);
Otu007;1349;Bacteria(100);Firmicutes(100);Erysipelotrichi(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Turicibacter(100);Turicibacter_unclassified(100);Turicibacter_unclassified(100);
Otu008;1254;Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu009;723;Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu010;688;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu011;598;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(96);Ruminococcaceae_unclassified(96);Ruminococcaceae_unclassified(96);Ruminococcaceae_unclassified(96);
Otu012;556;Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinobacteridae(100);Actinomycetales(54);Actinomycineae(53);Actinomycetaceae(53);Actinomyces(53);
Otu013;550;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);Staphylococcus_unclassified(100);Staphylococcus_unclassified(100);
Otu014;526;Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu015;507;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae(100);Clostridiaceae_1(100);Clostridium(100);Clostridium_unclassified(100);
Otu016;424;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Incertae_Sedis_XIII(86);Anaerovorax(86);Anaerovorax_unclassified(86);Anaerovorax_unclassified(86);
Otu017;378;Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);Acinetobacter_unclassified(100);Acinetobacter_unclassified(100);
Otu018;371;Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu019;351;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);unclassified_Clostridiales(63);unclassified_Clostridiales_unclassified(63);unclassified_Clostridiales_unclassified(63);unclassified_Clostridiales_unclassified(63);
Otu020;342;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(100);Bacillaceae_unclassified(100);Bacillaceae_unclassified(100);Bacillaceae_unclassified(100);
Otu021;317;Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Helicobacteraceae(100);Helicobacter(100);Helicobacter_unclassified(100);Helicobacter_unclassified(100);
Otu022;310;Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu023;281;Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);Neisseria_unclassified(100);Neisseria_unclassified(100);
Otu024;225;Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);Streptococcus_unclassified(100);Streptococcus_unclassified(100);
Otu025;220;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);unclassified_Ruminococcaceae(62);unclassified_Ruminococcaceae_unclassified(62);unclassified_Ruminococcaceae_unclassified(62);
Otu026;205;Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);Escherichia/Shigella_unclassified(100);Escherichia/Shigella_unclassified(100);
Otu027;192;Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonadaceae_unclassified(70);Pseudomonadaceae_unclassified(70);Pseudomonadaceae_unclassified(70);
Otu028;184;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);unclassified_Clostridiales(93);unclassified_Clostridiales_unclassified(93);unclassified_Clostridiales_unclassified(93);unclassified_Clostridiales_unclassified(93);
Otu029;161;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(69);Clostridiales_unclassified(69);Clostridiales_unclassified(69);Clostridiales_unclassified(69);
Otu030;142;Bacteria(100);TM7(100);TM7_genera_incertae_sedis(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);
Otu031;142;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu032;141;Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Listeriaceae(100);Listeria(100);Listeria_unclassified(100);Listeria_unclassified(100);
Otu033;123;Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteridae(100);Coriobacteriales(100);Coriobacterineae(100);Coriobacteriaceae(100);Adlercreutzia(64);
Otu034;113;Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
